country,country_code,region,city,id,osm_lat,osm_long,g_lat,g_long,distance
Austria,AT,,Ansfelden,91913,48.2094498,14.2901754,48.20784,14.29082,0.115038343951106
Austria,AT,,Arnoldstein,91965,46.5486788,13.7071303,46.54992,13.70523,0.124445252730651
Austria,AT,,Asten,92040,47.7009297,12.1167733,48.21884,14.42019,112.338883029444
Austria,AT,,Axams,92175,47.2084384383947,11.2861053508297,47.23036,11.27923,1.54753884341892
Austria,AT,,Bad Aussee,92206,47.6094355,13.7832722,47.60943,13.78332,0.00225721389931035
Austria,AT,,Bad Goisern,92223,47.6406235,13.6148009,47.64621,13.61584,0.388738134313908
Austria,AT,,Bad Hall,92224,48.0348017,14.2091385,48.03812,14.20876,0.229778198986192
Austria,AT,,Bad Hofgastein,92226,47.1703104,13.1060635,47.17245,13.09813,0.400611580101943
Austria,AT,,Bad Ischl,92227,47.7116204,13.6239333,47.71239,13.62096,0.14800039592866
Austria,AT,,Bad Sankt Leonhard,92236,46.9348709,14.8570245,46.96201,14.79502,3.4716565469499
Austria,AT,,Bad Vöslau,92244,47.9655519,16.2148073,47.96482,16.21385,0.0671745445303626
Austria,AT,,Baden,92210,48.0085749,16.2334951,48.00214,16.23091,0.460068295718572
Austria,AT,,Bergheim,92353,48.3599992,14.0502683,47.84652,13.03567,58.6965059844581
Austria,AT,,Berndorf,92366,47.9437223,16.1034434,47.93543,16.12358,1.09330809839051
Austria,AT,,Bischofshofen,92442,47.4167454,13.2168008,47.41725,13.21944,0.12813102102781
